"","자치구 기준일","year","month","day","종로구","중구","용산구","성동구","광진구","동대문구","중랑구","성북구","강북구","도봉구","노원구","은평구","서대문구","마포구","양천구","강서구","구로구","금천구","영등포구","동작구","관악구","서추구","강남구","송파구","강동구","기타"
"295","2021.04.27.","2021","04","27",1,1,2,3,5,9,6,1,0,5,3,7,0,4,3,6,2,0,3,5,5,3,15,9,13,5
"296","2021.04.26.","2021","04","26",3,1,5,8,8,5,10,1,4,10,6,7,3,3,4,3,3,3,8,5,8,7,12,17,5,5
"297","2021.04.25.","2021","04","25",2,3,4,8,7,7,6,4,7,6,10,6,3,6,7,9,6,6,4,11,8,8,11,10,9,7
"298","2021.04.24.","2021","04","24",2,7,4,9,19,13,13,3,3,2,13,9,5,10,8,16,4,0,8,11,5,18,21,14,20,16
"299","2021.04.23.","2021","04","23",4,1,3,12,16,7,14,8,13,7,9,6,1,2,7,9,1,4,11,3,10,9,14,11,12,10
"300","2021.04.22.","2021","04","22",4,3,2,8,8,14,11,6,12,20,13,7,4,6,6,5,3,7,10,5,14,11,18,14,6,13
"301","2021.04.21.","2021","04","21",4,8,4,8,8,16,12,6,9,7,9,11,6,9,8,4,7,3,6,8,8,10,11,20,9,7
"302","2021.04.20.","2021","04","20",2,2,1,4,7,10,8,9,7,6,6,15,3,4,6,4,4,1,2,1,9,10,10,7,4,6
"303","2021.04.19.","2021","04","19",1,0,4,4,8,7,10,6,4,4,6,7,3,4,6,5,2,2,2,11,6,14,7,10,2,2
"304","2021.04.18.","2021","04","18",3,5,3,8,9,6,7,11,5,0,8,10,5,6,9,12,6,4,6,12,11,9,15,10,14,11
"305","2021.04.17.","2021","04","17",0,5,3,9,10,6,11,5,5,3,6,11,1,7,3,8,7,4,8,10,10,9,27,12,16,21
"306","2021.04.16.","2021","04","16",0,1,3,7,6,8,5,8,3,8,14,20,7,7,4,5,10,9,11,9,9,12,20,16,9,5
"307","2021.04.15.","2021","04","15",1,1,2,5,11,5,21,9,2,2,11,9,8,7,5,11,6,4,14,1,12,12,21,19,8,10
"308","2021.04.14.","2021","04","14",2,3,4,5,11,13,17,5,7,7,8,14,6,8,5,6,3,5,7,8,22,14,18,28,12,9
"309","2021.04.13.","2021","04","13",4,1,3,7,16,3,3,7,4,10,5,7,4,2,8,5,2,1,6,13,8,11,11,4,7,6
"310","2021.04.12.","2021","04","12",0,2,3,5,17,5,8,10,1,9,9,9,0,4,5,3,1,1,6,9,8,14,8,10,7,8
"311","2021.04.11.","2021","04","11",3,0,7,0,3,14,16,14,0,4,6,9,4,7,20,12,4,3,4,16,6,21,12,13,3,13
"312","2021.04.10.","2021","04","10",2,4,4,4,7,11,13,9,1,13,6,13,5,7,8,6,3,3,7,12,7,9,16,9,12,10
"313","2021.04.09.","2021","04","09",0,4,4,9,4,14,20,11,1,4,14,16,3,4,3,13,6,2,8,8,10,14,8,13,3,19
"314","2021.04.08.","2021","04","08",4,3,1,7,2,10,18,10,3,4,17,14,4,2,3,9,5,0,10,13,10,37,20,11,11,16
"315","2021.04.07.","2021","04","07",6,2,3,7,7,8,13,11,5,3,6,23,2,2,1,9,8,6,9,12,12,9,10,9,10,5
"316","2021.04.06.","2021","04","06",0,0,0,5,8,7,7,7,2,4,4,17,3,3,2,4,7,1,1,13,12,12,5,12,5,6
"317","2021.04.05.","2021","04","05",1,1,2,8,7,2,9,4,4,2,8,5,3,5,4,5,8,0,3,9,21,18,4,10,3,6
"318","2021.04.04.","2021","04","04",0,2,2,6,5,1,7,6,1,4,8,10,1,5,2,6,3,0,4,13,16,10,8,11,6,12
"319","2021.04.03.","2021","04","03",1,1,2,2,5,1,9,4,7,2,8,18,4,8,7,4,5,2,5,4,7,11,11,9,1,15
"320","2021.04.02.","2021","04","02",3,1,8,2,4,4,13,8,1,2,9,9,2,10,6,9,5,2,9,7,3,7,15,15,6,8
"321","2021.04.01.","2021","04","01",1,3,4,8,3,5,13,5,6,5,8,13,4,4,6,11,5,3,6,10,8,8,21,20,8,11
"322","2021.03.31.","2021","03","31",5,3,6,6,7,2,9,1,10,5,1,12,2,5,4,5,10,2,4,7,13,7,7,9,4,12
"323","2021.03.30.","2021","03","30",7,4,1,6,8,2,22,2,5,2,3,5,5,5,3,9,9,1,2,9,3,11,2,4,6,9
"324","2021.03.29.","2021","03","29",3,1,2,6,5,3,7,2,6,2,3,4,6,4,0,4,1,1,3,3,3,5,8,6,9,9
"325","2021.03.28.","2021","03","28",2,2,3,4,6,4,8,8,5,2,7,1,2,9,1,2,13,1,5,5,4,9,8,7,12,9
"326","2021.03.27.","2021","03","27",0,4,2,4,5,4,3,5,4,3,5,3,1,7,9,6,4,1,2,8,8,7,8,7,6,9
"327","2021.03.26.","2021","03","26",1,2,4,3,3,3,4,6,8,0,6,4,4,4,5,5,2,0,5,8,8,13,7,2,10,7
"328","2021.03.25.","2021","03","25",0,4,1,2,4,4,2,3,3,5,18,8,1,2,2,8,1,2,5,3,4,7,13,3,6,14
"329","2021.03.24.","2021","03","24",5,4,4,4,3,3,9,4,4,2,9,9,4,5,6,3,6,0,4,7,11,1,7,2,13,10
"330","2021.03.23.","2021","03","23",0,4,5,4,3,1,1,4,4,2,2,9,1,2,4,3,5,1,3,6,3,2,13,7,5,3
"331","2021.03.22.","2021","03","22",2,2,7,2,4,0,2,7,3,1,12,3,3,3,2,3,4,1,1,4,4,2,10,12,6,8
"332","2021.03.21.","2021","03","21",2,4,7,6,8,7,3,6,3,6,7,5,0,2,1,5,4,0,3,12,5,4,6,6,6,6
"333","2021.03.20.","2021","03","20",1,3,10,8,13,6,6,5,3,3,4,4,0,1,4,5,1,2,6,2,4,3,2,7,12,3
"334","2021.03.19.","2021","03","19",3,5,1,10,17,7,8,6,6,1,5,6,2,2,7,4,1,0,4,2,3,4,12,8,15,7
"335","2021.03.18.","2021","03","18",3,5,7,6,7,4,8,3,7,3,6,3,1,2,1,3,3,0,4,3,6,7,13,3,8,7
"336","2021.03.17.","2021","03","17",3,3,8,6,9,2,7,4,1,1,4,11,1,3,3,2,6,1,3,7,3,1,4,9,10,7
"337","2021.03.16.","2021","03","16",2,0,4,3,10,0,7,0,4,1,5,5,1,3,3,5,1,0,1,6,0,3,4,6,3,3
"338","2021.03.15.","2021","03","15",3,3,4,2,5,1,4,5,1,3,6,1,4,2,8,4,3,0,4,12,7,2,2,9,6,8
"339","2021.03.14.","2021","03","14",2,3,6,2,8,2,13,2,2,6,6,3,2,4,3,7,1,1,0,4,5,5,6,7,7,5
"340","2021.03.13.","2021","03","13",1,3,6,7,8,4,5,3,2,9,6,7,7,1,7,8,6,1,1,6,5,8,6,9,7,7
"341","2021.03.12.","2021","03","12",2,3,1,6,7,4,6,2,2,10,10,13,1,2,4,6,3,1,2,5,2,9,9,8,14,8
"342","2021.03.11.","2021","03","11",2,3,5,3,25,7,7,4,5,1,7,10,2,1,4,2,8,0,2,0,3,5,8,10,7,6
"343","2021.03.10.","2021","03","10",2,1,9,3,18,5,5,4,5,7,4,14,4,2,4,3,6,3,6,0,1,7,6,6,5,9
"344","2021.03.09.","2021","03","09",1,1,9,1,4,1,5,0,5,2,2,13,0,1,4,3,7,1,11,1,2,5,6,4,7,6
"345","2021.03.08.","2021","03","08",0,1,2,4,10,1,7,6,1,5,7,7,0,1,4,2,1,0,4,1,2,2,3,10,11,8
"346","2021.03.07.","2021","03","07",0,2,3,2,14,5,4,3,1,8,12,7,0,7,5,1,3,1,6,11,2,3,5,3,10,13
"347","2021.03.06.","2021","03","06",4,2,1,9,4,6,2,5,3,5,13,10,4,4,5,1,4,0,5,3,3,4,11,6,3,10
"348","2021.03.05.","2021","03","05",1,1,1,3,9,4,13,4,8,6,12,10,2,2,0,2,0,1,7,6,5,2,9,6,8,9
"349","2021.03.04.","2021","03","04",2,2,3,4,8,10,3,8,0,5,6,11,4,3,0,4,3,0,2,8,1,4,10,3,12,5
"350","2021.03.03.","2021","03","03",0,2,0,7,10,4,4,12,4,3,5,15,0,6,3,4,2,0,5,6,0,3,8,4,7,4
"351","2021.03.02.","2021","03","02",2,1,4,4,8,4,1,8,4,3,10,7,0,5,4,5,3,1,3,10,1,9,8,5,11,5
"352","2021.03.01.","2021","03","01",2,1,5,2,3,4,3,5,3,1,9,3,0,1,4,1,2,2,14,7,2,4,1,3,3,7
"353","2021.02.28.","2021","02","28",0,3,5,3,2,13,3,4,4,6,4,1,1,1,3,1,9,3,7,1,14,2,2,1,7,19
"354","2021.02.27.","2021","02","27",0,3,7,1,15,13,6,2,3,6,6,9,3,3,1,3,11,2,4,2,7,1,5,6,3,5
"355","2021.02.26.","2021","02","26",2,3,8,1,11,4,4,9,2,6,3,3,1,5,7,5,5,6,5,9,6,3,1,5,4,12
"356","2021.02.25.","2021","02","25",0,6,8,2,2,2,4,8,0,4,4,1,1,4,5,3,14,2,8,5,5,6,8,6,2,9
"357","2021.02.24.","2021","02","24",1,6,6,2,13,2,5,8,2,6,8,7,7,5,8,4,6,3,7,5,5,3,6,2,2,15
"358","2021.02.23.","2021","02","23",0,2,5,6,4,2,4,7,4,6,9,5,7,1,8,3,1,3,0,2,5,6,6,4,5,12
"359","2021.02.22.","2021","02","22",2,1,4,7,7,1,2,10,2,2,8,1,3,1,11,6,2,1,5,5,5,5,7,5,5,5
"360","2021.02.21.","2021","02","21",0,2,5,2,8,7,5,4,5,1,7,5,4,4,6,3,7,2,5,6,7,6,2,7,1,13
"361","2021.02.20.","2021","02","20",0,2,10,4,8,3,0,4,3,7,3,5,2,0,14,3,5,2,9,7,2,3,5,13,4,13
"362","2021.02.19.","2021","02","19",3,0,10,4,10,6,3,16,6,7,5,9,7,1,4,4,16,2,9,5,7,2,5,15,6,12
"363","2021.02.18.","2021","02","18",1,8,14,6,5,2,6,20,2,3,9,9,2,5,6,5,9,1,6,8,13,9,5,12,8,14
"364","2021.02.17.","2021","02","17",0,4,28,13,5,9,7,6,4,8,11,10,7,9,7,4,10,5,10,15,18,8,7,21,9,23
"365","2021.02.16.","2021","02","16",1,7,11,4,0,7,2,2,7,7,13,4,2,7,5,5,16,2,9,7,7,4,4,6,4,18
"366","2021.02.15.","2021","02","15",2,6,8,2,2,4,1,10,3,3,2,6,1,4,5,3,14,1,12,5,5,3,4,9,13,21
"367","2021.02.14.","2021","02","14",2,1,14,6,0,4,10,1,3,3,6,10,2,4,4,2,18,2,9,4,2,1,3,9,1,30
"368","2021.02.13.","2021","02","13",3,2,7,3,7,4,9,10,1,2,6,4,3,1,4,3,12,2,7,5,8,4,1,9,7,7
"369","2021.02.12.","2021","02","12",1,1,5,7,7,6,5,9,6,3,10,10,1,4,3,1,27,3,5,7,6,2,1,8,18,7
"370","2021.02.11.","2021","02","11",1,7,9,8,5,12,7,7,9,6,3,7,3,2,3,3,17,2,8,9,10,3,2,11,13,17
"371","2021.02.10.","2021","02","10",3,9,14,3,6,4,11,6,3,6,4,12,4,5,6,6,6,3,9,2,5,6,6,5,10,21
"372","2021.02.09.","2021","02","09",5,0,5,2,2,5,2,3,7,6,5,2,3,2,3,2,2,1,3,6,4,4,3,1,1,12
"373","2021.02.08.","2021","02","08",4,1,7,3,3,3,7,4,4,6,5,4,2,7,3,1,4,4,4,4,4,4,4,6,2,11
"374","2021.02.07.","2021","02","07",2,1,8,4,5,3,2,10,2,12,12,10,7,2,4,3,3,3,4,6,7,1,2,8,4,18
"375","2021.02.06.","2021","02","06",1,2,8,5,3,2,9,13,6,4,9,5,5,4,5,7,3,1,3,4,6,4,7,7,4,18
"376","2021.02.05.","2021","02","05",1,3,9,5,5,4,17,7,6,4,8,4,6,1,1,4,2,3,2,4,4,4,1,1,1,18
"377","2021.02.04.","2021","02","04",2,4,6,3,6,6,19,9,9,6,8,2,4,5,9,4,7,3,4,4,4,6,6,12,6,16
"378","2021.02.03.","2021","02","03",2,3,4,8,5,15,9,7,11,6,5,8,4,4,1,3,5,3,9,8,11,3,8,13,10,25
"379","2021.02.02.","2021","02","02",3,0,6,3,6,14,5,7,7,3,4,1,6,7,0,4,4,2,4,3,5,2,6,4,6,14
"380","2021.02.01.","2021","02","01",0,1,4,2,1,21,3,5,2,1,8,0,0,3,2,4,2,4,5,2,4,6,7,4,2,16
"381","2021.01.31.","2021","01","31",1,1,5,2,0,5,5,6,1,7,5,2,3,1,1,3,5,0,4,10,4,3,7,5,7,7
"382","2021.01.30.","2021","01","30",1,3,4,13,2,6,9,15,2,4,10,5,1,1,4,4,4,1,2,2,9,2,9,4,7,28
"383","2021.01.29.","2021","01","29",1,6,3,1,2,4,3,2,1,3,4,2,4,3,5,3,4,4,6,4,7,2,10,11,2,16
"384","2021.01.28.","2021","01","28",2,3,3,2,6,4,3,2,1,7,2,8,1,4,2,4,6,3,4,0,7,4,0,4,4,18
"385","2021.01.27.","2021","01","27",2,5,5,7,3,9,5,6,7,4,8,4,4,3,3,5,11,1,2,2,6,4,5,6,2,11
"386","2021.01.26.","2021","01","26",6,4,2,0,1,9,2,6,4,8,11,3,0,2,2,3,3,0,4,5,5,5,4,2,5,5
"387","2021.01.25.","2021","01","25",4,5,2,1,3,7,2,9,5,0,4,5,2,4,1,8,2,0,4,4,10,4,2,1,7,5
"388","2021.01.24.","2021","01","24",5,4,3,0,1,11,7,2,2,11,10,3,5,6,2,7,5,0,5,1,4,5,13,5,1,14
"389","2021.01.23.","2021","01","23",1,3,2,7,4,3,11,3,3,2,3,5,4,7,7,11,1,1,4,7,5,4,8,9,7,6
"390","2021.01.22.","2021","01","22",2,3,0,3,1,0,8,3,2,3,8,4,2,4,7,4,2,2,6,7,2,8,11,7,4,9
"391","2021.01.21.","2021","01","21",3,1,4,10,3,4,4,1,1,3,12,5,4,6,15,4,6,1,3,4,1,3,8,3,3,11
"392","2021.01.20.","2021","01","20",3,1,3,5,3,4,13,7,2,11,6,2,3,6,11,8,4,0,6,2,6,6,8,4,4,17
"393","2021.01.19.","2021","01","19",1,4,4,1,2,6,5,4,4,4,1,2,4,2,9,4,9,1,1,4,2,1,7,10,3,7
"394","2021.01.18.","2021","01","18",3,2,4,12,3,11,2,5,6,4,5,3,7,6,6,3,2,5,5,5,2,7,5,6,4,6
"395","2021.01.17.","2021","01","17",4,2,2,5,3,13,5,7,2,1,8,11,5,1,11,9,10,5,2,5,7,4,7,5,1,10
"396","2021.01.16.","2021","01","16",1,1,7,8,4,7,7,12,4,4,6,7,1,4,4,5,3,2,3,9,4,5,7,11,7,21
"397","2021.01.15.","2021","01","15",2,1,5,2,6,9,7,1,3,6,4,6,3,8,2,2,8,4,5,6,4,1,3,5,10,7
"398","2021.01.14.","2021","01","14",4,6,7,0,3,9,5,7,8,3,2,4,4,12,2,7,3,2,6,4,4,5,6,6,3,16
"399","2021.01.13.","2021","01","13",1,4,1,4,3,6,6,8,4,9,10,5,1,5,7,14,1,2,4,7,6,1,9,12,4,14
"400","2021.01.12.","2021","01","12",6,3,3,7,2,13,11,2,6,8,11,12,2,9,6,3,8,0,1,7,6,4,9,4,11,13
"401","2021.01.11.","2021","01","11",4,0,2,4,5,13,6,2,2,6,8,8,6,3,6,3,3,2,4,10,2,2,7,10,7,15
"402","2021.01.10.","2021","01","10",9,0,1,3,7,5,7,7,6,5,5,9,12,3,12,3,8,1,9,7,8,4,9,10,10,26
"403","2021.01.09.","2021","01","09",4,0,2,1,6,7,4,6,8,6,2,12,7,9,12,7,4,1,15,9,9,7,10,15,4,20
"404","2021.01.08.","2021","01","08",2,3,8,4,2,4,9,16,3,8,5,7,11,7,9,9,9,4,10,4,5,4,8,16,9,15
"405","2021.01.07.","2021","01","07",5,3,2,4,16,5,10,17,15,6,8,16,14,6,12,14,8,6,8,4,5,7,13,7,10,77
"406","2021.01.06.","2021","01","06",12,1,5,5,5,10,7,14,8,12,13,12,11,5,14,21,19,3,8,9,7,12,7,21,1,18
"407","2021.01.05.","2021","01","05",4,1,4,4,6,13,11,7,16,4,6,7,6,5,9,4,9,7,11,8,6,2,10,11,11,12
"408","2021.01.04.","2021","01","04",4,2,1,9,9,6,14,8,14,10,11,3,3,7,10,15,9,5,14,10,6,4,11,8,8,130
"409","2021.01.03.","2021","01","03",4,0,3,0,5,5,3,8,19,5,10,5,4,6,23,9,8,4,8,6,4,9,3,12,12,16
"410","2021.01.02.","2021","01","02",10,1,7,10,2,6,8,10,14,6,11,13,10,6,7,13,3,1,15,36,6,8,3,8,10,24
"411","2021.01.01.","2021","01","01",11,1,2,7,7,8,20,8,13,12,8,11,8,8,12,7,7,6,15,17,12,5,6,14,5,133
"412","2020.12.31.","2020","12","31",13,3,1,7,17,11,20,14,7,7,15,9,11,11,24,12,15,11,10,15,27,9,9,17,7,57
"413","2020.12.30.","2020","12","30",4,6,9,8,13,12,28,21,13,8,17,17,7,5,18,16,13,14,9,18,25,17,15,20,6,49
"414","2020.12.29.","2020","12","29",10,5,2,2,4,6,36,14,10,7,15,10,5,9,14,11,9,4,7,12,26,13,10,17,3,262
"415","2020.12.28.","2020","12","28",7,6,6,13,8,9,25,10,10,7,17,17,4,10,17,8,8,10,5,10,7,11,20,17,14,25
"416","2020.12.27.","2020","12","27",12,7,5,9,5,12,16,12,6,12,8,9,2,15,18,22,20,10,5,6,22,11,16,23,5,55
"417","2020.12.26.","2020","12","26",7,3,8,4,5,16,22,11,8,22,16,31,6,11,33,34,40,12,19,12,16,11,10,25,13,35
"418","2020.12.25.","2020","12","25",9,5,14,3,13,8,8,14,7,5,8,18,7,21,15,20,4,4,7,19,16,7,9,14,8,305
"419","2020.12.24.","2020","12","24",9,4,9,6,13,12,14,10,9,11,11,14,9,24,12,34,16,6,13,14,17,7,7,26,5,36
"420","2020.12.23.","2020","12","23",14,5,6,9,18,10,14,15,8,3,18,24,9,29,23,22,6,9,18,11,18,8,13,22,7,37
"421","2020.12.22.","2020","12","22",15,11,9,6,9,10,19,17,7,11,32,9,13,13,9,18,17,6,13,8,15,10,12,7,4,31
"422","2020.12.21.","2020","12","21",29,8,8,9,5,12,18,12,8,7,8,12,13,12,12,16,18,13,15,14,17,21,15,13,5,13
"423","2020.12.20.","2020","12","20",20,5,3,7,4,10,11,8,11,7,9,17,10,16,8,30,17,2,13,7,12,6,18,4,7,33
"424","2020.12.19.","2020","12","19",33,8,7,6,14,20,21,14,4,7,11,18,6,10,8,29,13,7,23,12,13,12,12,21,12,37
"425","2020.12.18.","2020","12","18",16,7,1,6,13,32,18,20,16,2,16,15,15,14,11,28,22,5,29,4,16,15,14,29,17,207
"426","2020.12.17.","2020","12","17",9,9,10,21,7,14,14,9,17,7,8,5,11,31,18,24,15,9,36,23,16,14,16,24,20,40
"427","2020.12.16.","2020","12","16",10,11,4,15,12,15,12,16,14,13,12,20,10,19,15,23,11,11,26,13,9,11,14,21,18,27
"428","2020.12.15.","2020","12","15",2,7,2,5,8,7,4,8,12,7,7,14,10,8,6,31,9,4,7,18,16,5,18,13,9,12
"429","2020.12.14.","2020","12","14",3,4,4,8,12,6,8,11,7,8,9,7,3,9,8,33,2,8,0,4,13,5,12,8,21,6
"430","2020.12.13.","2020","12","13",7,2,10,14,9,14,21,17,4,13,3,14,14,16,17,44,8,10,12,19,21,13,14,28,18,30
"431","2020.12.12.","2020","12","12",4,6,2,12,8,6,13,16,10,11,6,13,8,13,14,81,8,8,14,22,12,15,24,11,12,15
"432","2020.12.11.","2020","12","11",2,4,8,9,6,9,16,7,3,4,5,11,7,8,16,29,9,3,12,19,15,11,15,8,12,12
"433","2020.12.10.","2020","12","10",3,5,6,6,8,11,10,6,8,5,12,12,9,12,6,12,6,5,18,11,13,9,21,12,9,17
"434","2020.12.09.","2020","12","09",3,7,5,1,6,12,19,5,5,8,7,15,10,9,14,24,12,1,6,13,19,9,16,10,12,11
"435","2020.12.08.","2020","12","08",4,6,7,6,7,3,21,5,4,3,8,11,4,11,10,21,11,3,4,12,18,11,10,2,11,17
"436","2020.12.07.","2020","12","07",4,5,8,0,12,7,14,4,8,6,9,13,8,8,9,11,6,4,5,17,14,14,13,16,5,18
"437","2020.12.06.","2020","12","06",4,4,7,7,10,8,9,9,3,14,7,5,3,3,11,16,6,3,16,32,8,11,11,12,10,14
"438","2020.12.05.","2020","12","05",5,9,8,7,5,4,8,11,3,3,7,22,3,15,9,23,4,5,6,8,9,14,12,11,8,16
"439","2020.12.04.","2020","12","04",4,8,4,7,6,8,20,8,5,8,7,14,10,23,8,25,11,8,11,3,16,17,11,26,3,25
"440","2020.12.03.","2020","12","03",3,0,8,8,8,9,21,13,2,3,8,10,9,5,9,18,2,0,9,14,10,13,13,23,8,35
"441","2020.12.02.","2020","12","02",2,3,8,2,7,9,8,3,2,10,11,8,9,6,9,7,3,0,8,12,7,18,16,14,9,9
"442","2020.12.01.","2020","12","01",0,1,3,2,5,1,3,7,4,7,7,3,3,6,10,15,5,2,14,4,7,11,12,7,5,10
"443","2020.11.30.","2020","11","30",1,2,4,1,2,3,5,4,8,4,13,8,7,5,11,15,3,6,5,3,7,11,12,5,2,11
"444","2020.11.29.","2020","11","29",1,3,2,2,5,5,8,7,2,5,13,4,8,7,10,14,7,2,4,9,3,8,6,6,5,10
"445","2020.11.28.","2020","11","28",4,0,7,1,1,5,11,3,1,3,6,5,12,7,17,26,5,3,5,4,10,13,8,10,3,7
"446","2020.11.27.","2020","11","27",2,2,6,6,1,5,11,4,1,3,11,2,1,1,14,56,7,4,5,9,8,12,5,10,2,15
"447","2020.11.26.","2020","11","26",1,0,4,7,2,4,7,7,5,5,16,4,2,5,12,59,5,1,3,5,1,8,9,16,5,19
"448","2020.11.25.","2020","11","25",1,7,7,2,4,1,5,6,4,2,5,4,7,10,6,9,0,1,3,7,4,20,14,6,4,3
"449","2020.11.24.","2020","11","24",1,3,10,4,3,4,6,2,0,5,7,1,2,7,2,7,4,1,4,4,3,26,16,5,5,2
"450","2020.11.23.","2020","11","23",3,0,2,1,2,0,5,3,1,1,2,9,6,14,3,4,4,0,3,8,2,15,4,9,4,7
"451","2020.11.22.","2020","11","22",3,0,1,4,0,8,3,5,2,0,4,7,8,6,6,2,1,0,2,9,3,13,9,15,6,4
"452","2020.11.21.","2020","11","21",2,1,4,3,3,7,1,4,1,4,4,4,12,6,6,5,5,1,9,19,4,16,12,9,4,10
"453","2020.11.20.","2020","11","20",3,5,6,2,2,12,3,8,3,8,7,3,4,3,3,7,2,0,5,6,1,18,4,11,2,4
"454","2020.11.19.","2020","11","19",1,1,1,5,1,2,0,7,1,11,9,4,5,4,1,3,1,1,7,7,1,9,6,8,6,7
"455","2020.11.18.","2020","11","18",1,2,1,6,2,4,2,7,1,6,3,3,0,2,2,12,3,0,3,7,0,8,4,6,1,6
"456","2020.11.17.","2020","11","17",2,1,0,3,1,4,1,5,1,7,4,2,5,6,4,4,6,1,2,2,1,10,0,10,3,13
"457","2020.11.16.","2020","11","16",0,0,0,3,0,1,3,6,2,4,4,3,1,1,3,9,3,0,2,3,1,3,2,12,0,5
"458","2020.11.15.","2020","11","15",2,3,1,1,0,2,3,6,0,1,11,2,6,2,1,9,4,0,0,2,0,4,2,12,5,6
"459","2020.11.14.","2020","11","14",0,4,3,0,1,17,1,4,2,0,5,3,2,1,0,9,1,0,1,4,2,2,2,2,0,3
"460","2020.11.13.","2020","11","13",0,1,1,2,1,11,4,2,0,3,6,4,1,3,1,7,1,2,1,1,2,4,3,4,1,8
"461","2020.11.12.","2020","11","12",0,4,4,2,0,7,0,3,0,4,3,0,2,2,0,2,0,1,1,0,1,1,5,4,1,6
"462","2020.11.11.","2020","11","11",0,1,2,0,1,1,1,1,0,0,1,1,1,2,1,5,0,0,0,0,0,4,1,4,1,16
"463","2020.11.10.","2020","11","10",0,0,0,0,1,2,1,0,0,3,0,2,0,0,0,7,0,0,0,1,2,6,2,2,2,5
"464","2020.11.09.","2020","11","09",0,0,7,5,0,2,0,0,0,1,0,2,3,1,2,4,0,0,1,3,0,5,1,4,1,3
"465","2020.11.08.","2020","11","08",0,0,1,8,0,5,0,3,2,0,0,1,9,0,0,4,0,1,6,2,0,1,3,2,3,4
"466","2020.11.07.","2020","11","07",0,2,0,6,2,2,0,3,0,1,0,2,3,1,0,3,0,0,0,1,3,3,3,0,0,2
"467","2020.11.06.","2020","11","06",0,0,1,0,0,4,0,3,0,1,1,4,1,0,3,1,0,0,3,0,5,0,3,8,0,2
"468","2020.11.05.","2020","11","05",0,0,1,1,3,2,1,1,0,0,0,3,5,0,1,2,0,0,2,3,1,4,2,9,1,7
"469","2020.11.04.","2020","11","04",1,0,1,4,0,4,0,1,0,0,1,2,7,0,0,2,1,0,2,1,1,1,2,6,1,5
"470","2020.11.03.","2020","11","03",2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2,1,1,2,3,0,2
"471","2020.11.02.","2020","11","02",0,0,2,0,0,2,0,2,0,2,1,0,0,1,0,3,0,0,0,0,0,2,2,5,1,2
"472","2020.11.01.","2020","11","01",0,0,1,1,1,0,0,0,0,0,1,3,0,1,0,1,2,0,1,2,2,5,14,9,0,1
"473","2020.10.31.","2020","10","31",0,1,0,2,1,3,1,3,0,0,1,2,0,1,3,2,2,0,2,0,4,2,8,1,1,6
"474","2020.10.30.","2020","10","30",0,0,0,2,2,0,0,0,3,3,1,0,0,3,2,3,0,0,0,2,3,4,11,8,1,2
"475","2020.10.29.","2020","10","29",0,1,1,0,0,0,1,0,0,1,4,1,0,0,1,1,0,1,0,0,3,3,7,5,0,3
"476","2020.10.28.","2020","10","28",1,0,0,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,2,8,4,1,4
"477","2020.10.27.","2020","10","27",0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,4,4,1,0
"478","2020.10.26.","2020","10","26",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,2,1,3,0,1
"479","2020.10.25.","2020","10","25",0,0,0,0,0,2,0,1,0,0,2,0,1,2,2,2,1,0,1,1,2,2,2,2,0,4
"480","2020.10.24.","2020","10","24",0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,3,0,4,2,0,1,3,1,0,1
"481","2020.10.23.","2020","10","23",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,2,2,3,2,3,1,1
"482","2020.10.22.","2020","10","22",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,0,4,0,1,1
"483","2020.10.21.","2020","10","21",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,3,2,1,2
"484","2020.10.20.","2020","10","20",0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,3
"485","2020.10.19.","2020","10","19",0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,0,0,4
"486","2020.10.18.","2020","10","18",0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,6,0,2,3,1,0
"487","2020.10.17.","2020","10","17",2,0,0,0,0,0,1,3,1,0,0,1,0,1,0,1,1,0,0,0,2,0,0,2,2,1
"488","2020.10.16.","2020","10","16",0,0,1,0,0,1,1,2,0,1,1,1,0,0,0,0,1,0,0,1,2,2,0,3,2,0
"489","2020.10.15.","2020","10","15",0,3,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,6,1,1,0,1,2
"490","2020.10.14.","2020","10","14",1,1,0,0,0,3,3,1,0,0,0,1,1,2,1,0,0,0,0,2,4,0,3,1,0,2
"491","2020.10.13.","2020","10","13",1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,1,3,0,1,0,0,7
"492","2020.10.12.","2020","10","12",0,0,4,0,0,2,1,0,0,1,4,0,0,2,0,1,2,0,1,1,5,1,1,2,2,1
